# bonjour — synthetic first-name table.
#
# SYNTHETIC PLACEHOLDER DATA. The weights below are made up, not real
# frequencies. They only need a plausible *spread* (common names high,
# ambiguous names lower) for the naive scorer to behave. Replace with a
# real frequency dataset before any serious use; see README for the
# licensing note on distributed datasets.
#
# Format: `name,country,gender,weight`. One row per (name, country); a
# name common in several countries — or unisex within one — gets several
# rows. That is how gender becomes country-dependent: `simone` is female
# in FR, male in IT. country = ISO 3166-1 alpha-2 (uppercase), gender =
# M/F, weight in 0.0..=1.0. Names are lowercase; accents are kept. Matching
# tries exact spelling first, then an unaccented fallback when its canonical
# spelling is unambiguous. Compound names are single atomic rows (a hyphenated
# name is one name, never split).
name,country,gender,weight
# --- very common (high confidence) ---
jean,FR,M,0.98
marie,FR,F,0.97
pierre,FR,M,0.95
quentin,FR,M,0.95
anne,FR,F,0.95
paul,FR,M,0.93
maria,IT,F,0.92
sophie,FR,F,0.92
emma,FR,F,0.90
nicolas,FR,M,0.90
anna,IT,F,0.90
john,GB,M,0.90
antoine,FR,M,0.86
david,FR,M,0.86
michel,FR,M,0.85
thomas,FR,M,0.85
lucas,FR,M,0.85
james,GB,M,0.85
sarah,FR,F,0.88
louis,FR,M,0.88
julien,FR,M,0.88
mary,GB,F,0.88
léa,FR,F,0.87
michael,GB,M,0.87
manon,FR,F,0.85
# --- moderately common ---
luc,FR,M,0.82
chloé,FR,F,0.85
zoé,FR,F,0.82
éric,FR,M,0.84
jérôme,FR,M,0.80
carlos,ES,M,0.80
sofia,IT,F,0.85
laura,IT,F,0.84
# --- country resolves gender: same name, different gender per country ---
simone,FR,F,0.70
simone,IT,M,0.65
andrea,IT,M,0.72
andrea,DE,F,0.60
# --- unisex within a single country: gender needs an explicit hint ---
camille,FR,F,0.75
camille,FR,M,0.60
claude,FR,M,0.70
claude,FR,F,0.55
# --- ambiguous: also common family names, kept deliberately lower ---
martin,FR,M,0.50
laurent,FR,M,0.55
simon,FR,M,0.60
bernard,FR,M,0.55
# --- compound given names: atomic rows, never split on '-' ---
jean-pierre,FR,M,0.80
jean-luc,FR,M,0.75
jean-françois,FR,M,0.70
anne-sophie,FR,F,0.72
marie-claire,FR,F,0.70
